job_id,title,required_skills,min_experience,level,salary_range,location
10575,Golang Developer,"Hiểu biết về Security best practices,Kinh nghiệm làm việc trong môi trường startup là lợi thế,Kỹ năng time management và priority setting tốt,Thành thạo React, Vue.js hoặc Angular,Hiểu biết về microservices architecture,Kinh nghiệm optimize SEO cho web applications,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự",1,Phó giám đốc,26000000,Hà Nội
10635,Key Account Manager,"Thành thạo React, Vue.js hoặc Angular,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Thành thạo TypeScript cho frontend development,Hiểu biết về CI/CD pipelines và DevOps practices,Hiểu biết về accessibility standards (WCAG),Kỹ năng phân tích và thiết kế hệ thống tốt",5,Giám sát,29000000,Hà Nội
10552,Team Leader,"Kinh nghiệm optimize SEO cho web applications,Hiểu biết về RESTful API design và GraphQL,Kỹ năng communication và presentation tốt,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Có passion cho coding và công nghệ mới,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript",5,Chuyên viên,33000000,Hà Nội
10681,QA Engineer,"Hiểu biết về CI/CD pipelines và DevOps practices,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với serverless architecture,Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm làm việc trong môi trường startup là lợi thế,Kinh nghiệm với automated testing và TDD,Có certificate chuyên môn là một lợi thế,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP)",2,Giám sát,28000000,Hà Nội
9980,React Native Developer,"Kinh nghiệm với Agile/Scrum methodology,Kinh nghiệm với Docker và container orchestration,Có khả năng học hỏi công nghệ mới nhanh chóng,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Kinh nghiệm với Spring Boot hoặc Django framework,Có certificate chuyên môn là một lợi thế,Hiểu biết về data structures và algorithms,Kinh nghiệm với message queues (RabbitMQ, Kafka),Thành thạo HTML5, CSS3 và responsive design,Kinh nghiệm với serverless architecture",0,Chuyên viên,18000000,Hà Nội
10106,Trưởng phòng Tín dụng,"Có kinh nghiệm làm việc với SQL và NoSQL databases,Kinh nghiệm với serverless architecture,Kinh nghiệm với Agile/Scrum methodology,Hiểu biết về accessibility standards (WCAG),Có khả năng học hỏi công nghệ mới nhanh chóng,Kinh nghiệm optimize performance cho web và mobile,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Thành thạo HTML5, CSS3 và responsive design",2,Chuyên viên,7000000,Hà Nội
10319,Customer Service Lead,"Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Kỹ năng time management và priority setting tốt,Hiểu biết về CI/CD pipelines và DevOps practices,Có portfolio hoặc Github projects để tham khảo,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Có kinh nghiệm làm việc với SQL và NoSQL databases,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ",0,Chuyên viên,32000000,Hà Nội
10227,Network Administrator,"Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Có khả năng review code và mentor junior developers,Kinh nghiệm với Agile/Scrum methodology,Hiểu biết sâu về OOP và Design Patterns,Kỹ năng phân tích và thiết kế hệ thống tốt,Kinh nghiệm với state management (Redux, MobX),Khả năng làm việc độc lập và teamwork hiệu quả,Có kinh nghiệm làm việc với SQL và NoSQL databases",5,Chuyên viên,14000000,Hà Nội
10430,Digital Banking Specialist,"Kỹ năng communication và presentation tốt,Khả năng làm việc độc lập và teamwork hiệu quả,Kỹ năng phân tích và thiết kế hệ thống tốt,Có kinh nghiệm làm việc với SQL và NoSQL databases,Hiểu biết về CI/CD pipelines và DevOps practices,Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm với state management (Redux, MobX),Kinh nghiệm với monitoring tools (Prometheus, Grafana)",0,Chuyên viên,19000000,Hà Nội
10731,KYC/AML Specialist,"Khả năng làm việc độc lập và teamwork hiệu quả,Hiểu biết về RESTful API design và GraphQL,Hiểu biết về accessibility standards (WCAG),Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Có certificate chuyên môn là một lợi thế,Hiểu biết về CI/CD pipelines và DevOps practices,Có kinh nghiệm làm việc với SQL và NoSQL databases,Kinh nghiệm với state management (Redux, MobX),Kỹ năng time management và priority setting tốt",3,Chuyên viên,14000000,Hà Nội
10760,Growth Analyst,"Có kinh nghiệm làm việc với SQL và NoSQL databases,Kỹ năng time management và priority setting tốt,Kinh nghiệm với state management (Redux, MobX),Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm với message queues (RabbitMQ, Kafka),Kinh nghiệm optimize performance cho web và mobile,Có khả năng học hỏi công nghệ mới nhanh chóng,Kinh nghiệm sử dụng Git và quy trình Git Flow,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự",5,Chuyên viên,16000000,Hà Nội
10787,Chuyên viên Quan hệ Khách hàng,"Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm optimize SEO cho web applications,Thành thạo React, Vue.js hoặc Angular,Hiểu biết về CI/CD pipelines và DevOps practices,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với Docker và container orchestration,Có khả năng review code và mentor junior developers,Kinh nghiệm với Agile/Scrum methodology",0,Giám sát,28000000,Hà Nội
10830,RF Optimization Engineer,"Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với automated testing và TDD,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Kinh nghiệm với Agile/Scrum methodology,Kinh nghiệm với monitoring tools (Prometheus, Grafana),Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Có khả năng review code và mentor junior developers,Hiểu biết về CI/CD pipelines và DevOps practices",3,Trưởng nhóm,12000000,Hà Nội
10247,Product Owner,"Thành thạo HTML5, CSS3 và responsive design,Có khả năng học hỏi công nghệ mới nhanh chóng,Có khả năng review code và mentor junior developers,Có portfolio hoặc Github projects để tham khảo,Thành thạo React, Vue.js hoặc Angular,Kinh nghiệm sử dụng Git và quy trình Git Flow,Hiểu biết về data structures và algorithms",0,Phó giám đốc,28000000,Hà Nội
9963,Python Developer,"Có certificate chuyên môn là một lợi thế,Kinh nghiệm optimize SEO cho web applications,Kỹ năng phân tích và thiết kế hệ thống tốt,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Kỹ năng communication và presentation tốt,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ",3,Chuyên viên,19000000,Hà Nội
10193,Chuyên viên Phát triển Sản phẩm,"Thành thạo React, Vue.js hoặc Angular,Có passion cho coding và công nghệ mới,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Thành thạo TypeScript cho frontend development,Hiểu biết về CI/CD pipelines và DevOps practices,Kinh nghiệm với Docker và container orchestration,Kinh nghiệm optimize SEO cho web applications,Kinh nghiệm với serverless architecture,Hiểu biết về data structures và algorithms",3,Chuyên viên,30000000,Hà Nội
10502,Chuyên viên Thanh toán Quốc tế,"Kinh nghiệm optimize SEO cho web applications,Có certificate chuyên môn là một lợi thế,Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm với Docker và container orchestration,Kinh nghiệm với automated testing và TDD,Có khả năng học hỏi công nghệ mới nhanh chóng",0,Trưởng nhóm,24000000,Hà Nội
10082,Backend Developer,"Kinh nghiệm với Docker và container orchestration,Kinh nghiệm với automated testing và TDD,Hiểu biết về data structures và algorithms,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với Spring Boot hoặc Django framework",0,Giám sát,14000000,Hà Nội
10469,Key Account Manager,"Thành thạo React, Vue.js hoặc Angular,Kỹ năng phân tích và thiết kế hệ thống tốt,Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm với serverless architecture,Kinh nghiệm với Docker và container orchestration,Có kinh nghiệm làm việc với SQL và NoSQL databases",2,Chuyên viên,10000000,Hà Nội
10231,NOC Engineer,"Kỹ năng communication và presentation tốt,Hiểu biết về CI/CD pipelines và DevOps practices,Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm optimize SEO cho web applications,Kinh nghiệm với Agile/Scrum methodology,Có khả năng học hỏi công nghệ mới nhanh chóng,Thành thạo React, Vue.js hoặc Angular,Kinh nghiệm làm việc trong môi trường startup là lợi thế",1,Quản lý,37000000,Hà Nội
10039,VoIP Engineer,"Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm với serverless architecture,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm làm việc trong môi trường startup là lợi thế,Hiểu biết về accessibility standards (WCAG)",0,Phó giám đốc,14000000,Hà Nội
9998,Data Scientist,"Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Hiểu biết về RESTful API design và GraphQL,Có passion cho coding và công nghệ mới,Có portfolio hoặc Github projects để tham khảo,Hiểu biết về Security best practices,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành",5,Giám sát,34000000,Hà Nội
10153,Credit Risk Analyst,"Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm làm việc trong dự án quốc tế,Có kinh nghiệm làm việc với SQL và NoSQL databases,Kinh nghiệm với monitoring tools (Prometheus, Grafana),Kinh nghiệm với message queues (RabbitMQ, Kafka),Hiểu biết sâu về OOP và Design Patterns,Thành thạo TypeScript cho frontend development,Kinh nghiệm với Agile/Scrum methodology",1,Phó giám đốc,23000000,Hà Nội
10161,Merchandising Manager,"Kỹ năng phân tích và thiết kế hệ thống tốt,Kỹ năng debugging và problem-solving tốt,Khả năng làm việc độc lập và teamwork hiệu quả,Có passion cho coding và công nghệ mới,Kỹ năng time management và priority setting tốt,Kinh nghiệm với Docker và container orchestration,Kinh nghiệm với monitoring tools (Prometheus, Grafana),Thành thạo HTML5, CSS3 và responsive design",3,Trưởng nhóm,25000000,Hà Nội
10347,RF Optimization Engineer,"Hiểu biết về RESTful API design và GraphQL,Kỹ năng phân tích và thiết kế hệ thống tốt,Kinh nghiệm optimize performance cho web và mobile,Kinh nghiệm sử dụng Git và quy trình Git Flow,Kỹ năng time management và priority setting tốt,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Kinh nghiệm optimize SEO cho web applications,Kinh nghiệm với message queues (RabbitMQ, Kafka)",5,Quản lý,22000000,Hà Nội
10374,QA Engineer,"Thành thạo TypeScript cho frontend development,Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm với automated testing và TDD,Kinh nghiệm với Docker và container orchestration,Có khả năng review code và mentor junior developers,Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm làm việc trong dự án quốc tế,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành",1,Trưởng nhóm,21000000,Hà Nội
10339,Core Network Engineer,"Kỹ năng time management và priority setting tốt,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Kinh nghiệm với message queues (RabbitMQ, Kafka),Thành thạo HTML5, CSS3 và responsive design,Hiểu biết về microservices architecture,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Kinh nghiệm với automated testing và TDD,Hiểu biết sâu về OOP và Design Patterns,Thành thạo React, Vue.js hoặc Angular,Hiểu biết về RESTful API design và GraphQL",5,Phó giám đốc,26000000,Hà Nội
10261,AI Engineer,"Kinh nghiệm với Docker và container orchestration,Kỹ năng time management và priority setting tốt,Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm với Spring Boot hoặc Django framework,Hiểu biết về Security best practices,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Hiểu biết về accessibility standards (WCAG)",5,Giám sát,35000000,Hà Nội
10569,Solution Architect,"Có certificate chuyên môn là một lợi thế,Có khả năng học hỏi công nghệ mới nhanh chóng,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Kinh nghiệm với Docker và container orchestration,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kỹ năng time management và priority setting tốt,Hiểu biết về accessibility standards (WCAG),Hiểu biết về microservices architecture",2,Chuyên viên,39000000,Hà Nội
10633,Growth Analyst,"Có khả năng học hỏi công nghệ mới nhanh chóng,Kinh nghiệm với message queues (RabbitMQ, Kafka),Có kinh nghiệm làm việc với SQL và NoSQL databases,Thành thạo TypeScript cho frontend development,Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm với Spring Boot hoặc Django framework,Hiểu biết về RESTful API design và GraphQL,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Hiểu biết về microservices architecture",5,Phó giám đốc,10000000,Hà Nội
10602,DevOps Engineer,"Kinh nghiệm làm việc trong môi trường startup là lợi thế,Có khả năng review code và mentor junior developers,Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Kinh nghiệm với Agile/Scrum methodology,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự",5,Phó giám đốc,25000000,Hà Nội
10783,Merchandising Manager,"Có khả năng review code và mentor junior developers,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Kinh nghiệm với Docker và container orchestration,Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Có kinh nghiệm làm việc với SQL và NoSQL databases,Kinh nghiệm với serverless architecture,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm với automated testing và TDD",0,Giám sát,22000000,Hà Nội
10281,Software Architect,"Kinh nghiệm với Docker và container orchestration,Có khả năng review code và mentor junior developers,Kỹ năng time management và priority setting tốt,Có certificate chuyên môn là một lợi thế,Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm optimize performance cho web và mobile,Thành thạo HTML5, CSS3 và responsive design",1,Phó giám đốc,23000000,Hà Nội
10437,Fraud Analyst,"Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm với serverless architecture,Hiểu biết về data structures và algorithms,Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm optimize performance cho web và mobile,Kinh nghiệm với message queues (RabbitMQ, Kafka),Kinh nghiệm với Docker và container orchestration,Có passion cho coding và công nghệ mới,Kinh nghiệm làm việc trong môi trường startup là lợi thế",2,Trưởng nhóm,20000000,Hà Nội
10064,RF Optimization Engineer,"Kinh nghiệm với monitoring tools (Prometheus, Grafana),Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm với Spring Boot hoặc Django framework,Có portfolio hoặc Github projects để tham khảo,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript",0,Phó giám đốc,5000000,Hà Nội
10378,Solution Architect,"Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Thành thạo React, Vue.js hoặc Angular,Kinh nghiệm làm việc trong dự án quốc tế,Hiểu biết về data structures và algorithms,Kinh nghiệm với serverless architecture,Kinh nghiệm optimize SEO cho web applications,Kinh nghiệm sử dụng Git và quy trình Git Flow,Hiểu biết về Security best practices,Có khả năng review code và mentor junior developers,Hiểu biết về microservices architecture",0,Phó giám đốc,14000000,Hà Nội
10425,Chuyên viên Kiểm toán Nội bộ,"Kinh nghiệm sử dụng Git và quy trình Git Flow,Kỹ năng communication và presentation tốt,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Có passion cho coding và công nghệ mới,Kinh nghiệm làm việc trong dự án quốc tế,Hiểu biết sâu về OOP và Design Patterns,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Kinh nghiệm với message queues (RabbitMQ, Kafka),Hiểu biết về accessibility standards (WCAG)",1,Quản lý,36000000,Hà Nội
10242,VoIP Engineer,"Thành thạo TypeScript cho frontend development,Hiểu biết về RESTful API design và GraphQL,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Kỹ năng time management và priority setting tốt,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Kỹ năng phân tích và thiết kế hệ thống tốt",2,Chuyên viên,28000000,Hà Nội
9965,Cloud Engineer,"Hiểu biết về accessibility standards (WCAG),Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Kinh nghiệm với Docker và container orchestration,Có khả năng review code và mentor junior developers,Hiểu biết về RESTful API design và GraphQL,Kỹ năng phân tích và thiết kế hệ thống tốt",5,Trưởng nhóm,15000000,Hà Nội
10775,Digital Marketing Manager,"Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Có passion cho coding và công nghệ mới,Kinh nghiệm optimize performance cho web và mobile,Thành thạo TypeScript cho frontend development,Kinh nghiệm sử dụng Git và quy trình Git Flow,Có certificate chuyên môn là một lợi thế,Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành,Có portfolio hoặc Github projects để tham khảo",5,Chuyên viên,17000000,Hà Nội
10717,Chuyên viên Quản lý Rủi ro,"Kinh nghiệm với Docker và container orchestration,Kinh nghiệm optimize SEO cho web applications,Hiểu biết về RESTful API design và GraphQL,Hiểu biết về Security best practices,Hiểu biết sâu về OOP và Design Patterns,Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript",5,Chuyên viên,28000000,Hà Nội
10548,Unity Developer,"Kinh nghiệm optimize performance cho web và mobile,Kỹ năng debugging và problem-solving tốt,Kỹ năng phân tích và thiết kế hệ thống tốt,Kinh nghiệm với monitoring tools (Prometheus, Grafana),Hiểu biết về RESTful API design và GraphQL,Hiểu biết về CI/CD pipelines và DevOps practices,Hiểu biết sâu về OOP và Design Patterns,Có khả năng học hỏi công nghệ mới nhanh chóng,Thành thạo HTML5, CSS3 và responsive design,Thành thạo TypeScript cho frontend development",1,Phó giám đốc,22000000,Hà Nội
10541,Network Administrator,"Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm với state management (Redux, MobX),Tốt nghiệp Đại học chuyên ngành liên quan đến công nghệ,Có khả năng học hỏi công nghệ mới nhanh chóng,Có portfolio hoặc Github projects để tham khảo,Kỹ năng phân tích và thiết kế hệ thống tốt,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Hiểu biết sâu về OOP và Design Patterns,Hiểu biết về Security best practices",0,Quản lý,27000000,Hà Nội
10126,Fraud Analyst,"Có portfolio hoặc Github projects để tham khảo,Kỹ năng time management và priority setting tốt,Có certificate chuyên môn là một lợi thế,Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm với cloud platforms (AWS, Azure, hoặc GCP),Kỹ năng communication và presentation tốt,Kinh nghiệm với Agile/Scrum methodology",5,Phó giám đốc,19000000,Hà Nội
10414,Chuyên viên Kiểm toán Nội bộ,"Kỹ năng phân tích và thiết kế hệ thống tốt,Hiểu biết về CI/CD pipelines và DevOps practices,Hiểu biết về microservices architecture,Kinh nghiệm với message queues (RabbitMQ, Kafka),Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Có khả năng review code và mentor junior developers,Kỹ năng communication và presentation tốt",1,Giám sát,31000000,Hà Nội
10427,Quantitative Analyst,"Hiểu biết về data structures và algorithms,Kỹ năng debugging và problem-solving tốt,Kinh nghiệm với Agile/Scrum methodology,Khả năng làm việc độc lập và teamwork hiệu quả,Có khả năng review code và mentor junior developers,Có passion cho coding và công nghệ mới,Kinh nghiệm optimize SEO cho web applications,Kinh nghiệm optimize performance cho web và mobile,Hiểu biết sâu về OOP và Design Patterns",2,Trưởng nhóm,22000000,Hà Nội
10435,Quantitative Analyst,"Kinh nghiệm optimize performance cho web và mobile,Kinh nghiệm với automated testing và TDD,Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm optimize SEO cho web applications,Kinh nghiệm với monitoring tools (Prometheus, Grafana),Khả năng làm việc độc lập và teamwork hiệu quả",2,Chuyên viên,21000000,Hà Nội
10413,Chuyên viên Quản lý Rủi ro,"Kinh nghiệm sử dụng Git và quy trình Git Flow,Kinh nghiệm làm việc trong dự án quốc tế,Có khả năng học hỏi công nghệ mới nhanh chóng,Có portfolio hoặc Github projects để tham khảo,Hiểu biết về Security best practices,Kinh nghiệm với serverless architecture,Kinh nghiệm với state management (Redux, MobX)",0,Trưởng nhóm,21000000,Hà Nội
9946,PHP Developer,"Thành thạo ngôn ngữ lập trình Java, Python hoặc JavaScript,Có khả năng review code và mentor junior developers,Hiểu biết về accessibility standards (WCAG),Có passion cho coding và công nghệ mới,Kỹ năng communication và presentation tốt,Kinh nghiệm với message queues (RabbitMQ, Kafka)",5,Chuyên viên,13000000,Hà Nội
10085,DevOps Engineer,"Hiểu biết về Security best practices,Kinh nghiệm với automated testing và TDD,Có khả năng review code và mentor junior developers,Kinh nghiệm với Agile/Scrum methodology,Có kinh nghiệm làm việc với SQL và NoSQL databases,Hiểu biết về microservices architecture,Hiểu biết sâu về OOP và Design Patterns,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Khả năng làm việc độc lập và teamwork hiệu quả,Kinh nghiệm optimize SEO cho web applications",5,Phó giám đốc,4000000,Hà Nội
10292,.NET Developer,"Kỹ năng phân tích và thiết kế hệ thống tốt,Hiểu biết về accessibility standards (WCAG),Thành thạo TypeScript cho frontend development,Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực tương tự,Hiểu biết về Security best practices,Kinh nghiệm với monitoring tools (Prometheus, Grafana)",1,Trưởng nhóm,20000000,Hà Nội
10625,Merchandising Manager,"Thành thạo React, Vue.js hoặc Angular,Kinh nghiệm với Spring Boot hoặc Django framework,Kinh nghiệm với monitoring tools (Prometheus, Grafana),Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit),Có portfolio hoặc Github projects để tham khảo,Kinh nghiệm optimize SEO cho web applications,Có kinh nghiệm làm việc với SQL và NoSQL databases,Có khả năng học hỏi công nghệ mới nhanh chóng,Kỹ năng phân tích và thiết kế hệ thống tốt",1,Giám sát,23000000,Hà Nội
10821,Network Administrator,"Hiểu biết sâu về OOP và Design Patterns,Hiểu biết về RESTful API design và GraphQL,Kinh nghiệm làm việc trong dự án quốc tế,Thành thạo React, Vue.js hoặc Angular,Hiểu biết về Security best practices,Có passion cho coding và công nghệ mới,Kinh nghiệm với testing frameworks (Jest, Mocha, JUnit)",1,Giám sát,34000000,Hà Nội
